category,lower,upper
Animal and Animal Products,01,05
Vegetable Products,06,15
Foodstuffs,16,24
Minerals,25,27
Chemicals,28,38
Plastics / Rubbers,39,40
Leathers and Furs,41,43
Wood Products,44,49
Textiles,50,63
Footwear / Headgear,64,67
Stone / Glass,68,71
Metals,72,83
Machinery / Electrical,84,85
Transportation,86,89
Miscellaneous,90,97
Stone,98,99
