name,code
salmon,0305410010
salmon,0305410000
salmon,0302120001
salmon,0302120011
salmon,0302120019
salmon,0302140015
salmon,0302190001
salmon,0302190019
salmon,0303100001
salmon,0303100011
salmon,0303100019
salmon,0303110010
salmon,0303110012
salmon,0303110019
salmon,0303120010
salmon,0303120015
salmon,0303120019
salmon,0303130019
salmon,0303190010
salmon,0303190011
salmon,0303190012
salmon,0303190015
salmon,0303190019
salmon,0303190029
salmon,0303290001
salmon,0303290011
chicken,0207149000
chicken,0207141000
onions,0703100100
onions,0703100900
capsicums,0709600000
avocados,0804400001
sugar_confectionery,1704900000
frozen_french_fries,2004100000
jams_jellies,2007910000
jams_jellies,2007990000
cherries,0809200000
cherries,0809210000
cherries,0809290000
spirits,2208300401
spirits,2208300801
spirits,2208301901
spirits,2208301909
spirits,2208601901
spirits,2208602901
spirits,2208609909
spirits,2208609911
spirits,2208706000
spirits,2208707100
spirits,2208708001
spirits,2208900600
spirits,2208904210
spirits,2208904810
spirits,2208904815
spirits,2208906820
spirits,2208906825
spirits,2208906835
spirits,2208907220
spirits,2208907225
spirits,2208907230
spirits,2208907235
spirits,2208907239
spirits,2208907835
spirits,2208907839
spirits,2208908535
spirits,2208909720
spirits,2208909750
spirits,2208909760
spirits,2208908515
spirits,2208908539
spirits,2208909710
spirits,2208909717
spirits,2208909730
spirits,2208609901
spirits,2208301911
spirits,2208300201
spirits,2208300419
spirits,2208704000
spirits,2208707000
spirits,2208900500
spirits,2208900801
spirits,2208906000
spirits,2208908100
spirits,2208908900
spirits,2208909901
spirits,2208904201
spirits,2208904801
spirits,2208906700
spirits,2208300219
spirits,2208300619
spirits,2208301119
spirits,2208601909
spirits,2208300409
spirits,2208907900
spirits,2208601101
spirits,2208905200
spirits,2208701000
spirits,2208301919
spirits,2208909909
spirits,2208909919
spirits,2208300601
spirits,2208609919
spirits,2208908800
spirits,2208708009
spirits,2208300209
spirits,2208601109
spirits,2208904819
spirits,2208705000
spirits,2208300809
spirits,2208905600
spirits,2208609119
spirits,2208909109
spirits,2208909119
spirits,2208906815
spirits,2208906830
spirits,2208906839
spirits,2208908520
spirits,2208907820
spirits,2208905820
spirits,2208702000
